frame,gp,x,reward,total,looped,life
896,0,584,0.0,527.0,False,2
900,0,584,0.0,527.0,False,2
904,0,584,0.0,527.0,False,2
908,0,584,0.0,527.0,False,2
912,0,584,-1.0,526.0,False,2
916,0,584,0.0,526.0,False,2
920,0,584,0.0,526.0,False,2
924,0,584,0.0,526.0,False,2
928,0,584,0.0,526.0,False,2
932,0,584,-1.0,525.0,False,2
936,0,584,0.0,525.0,False,2
940,0,584,0.0,525.0,False,2
944,0,584,0.0,525.0,False,2
948,0,584,0.0,525.0,False,2
952,0,584,-1.0,524.0,False,2
956,0,584,0.0,524.0,False,2
960,0,584,0.0,524.0,False,2
964,0,584,0.0,524.0,False,2
968,0,584,0.0,524.0,False,2
972,0,584,-1.0,523.0,False,2
976,0,584,0.0,523.0,False,2
980,0,584,0.0,523.0,False,2
984,0,584,0.0,523.0,False,2
988,0,584,0.0,523.0,False,2
992,0,584,-1.0,522.0,False,2
996,0,584,0.0,522.0,False,2
1000,0,584,0.0,522.0,False,2
1004,0,584,0.0,522.0,False,2
1008,0,584,0.0,522.0,False,2
1012,0,584,-1.0,521.0,False,2
1016,0,584,0.0,521.0,False,2
1020,0,584,0.0,521.0,False,2
1024,0,584,0.0,521.0,False,2
1028,0,584,0.0,521.0,False,2
1032,0,584,-1.0,520.0,False,2
1036,0,584,0.0,520.0,False,2
1040,0,584,0.0,520.0,False,2
1044,0,585,0.0,520.0,False,2
1048,0,588,0.0,520.0,False,2
1052,0,593,-1.0,519.0,False,2
1056,0,594,0.0,519.0,False,2
1060,0,594,0.0,519.0,False,2
1064,0,594,0.0,519.0,False,2
1068,0,594,0.0,519.0,False,2
1072,0,594,-1.0,518.0,False,2
1076,0,594,0.0,518.0,False,2
1080,0,594,0.0,518.0,False,2
1084,0,594,0.0,518.0,False,2
1088,0,594,0.0,518.0,False,2
1092,0,594,-1.0,517.0,False,2
1096,0,594,0.0,517.0,False,2
1100,0,594,0.0,517.0,False,2
1104,0,594,0.0,517.0,False,2
1108,0,594,0.0,517.0,False,2
1112,0,594,-1.0,516.0,False,2
1116,0,594,0.0,516.0,False,2
1120,0,594,0.0,516.0,False,2
1124,0,594,0.0,516.0,False,2
1128,0,594,0.0,516.0,False,2
1132,0,594,-1.0,515.0,False,2
1136,0,594,0.0,515.0,False,2
1140,0,594,0.0,515.0,False,2
1144,0,594,0.0,515.0,False,2
1148,0,594,0.0,515.0,False,2
1152,0,594,-1.0,514.0,False,2
1156,0,594,0.0,514.0,False,2
1160,0,594,0.0,514.0,False,2
1164,0,594,0.0,514.0,False,2
1168,0,594,0.0,514.0,False,2
1172,0,594,-1.0,513.0,False,2
1176,0,594,0.0,513.0,False,2
1180,0,594,0.0,513.0,False,2
1184,0,594,0.0,513.0,False,2
1188,0,594,0.0,513.0,False,2
1192,0,594,-1.0,512.0,False,2
1196,0,594,0.0,512.0,False,2
1200,0,594,0.0,512.0,False,2
1204,0,594,0.0,512.0,False,2
1208,0,594,0.0,512.0,False,2
1212,0,594,-1.0,511.0,False,2
1216,0,594,0.0,511.0,False,2
1220,0,594,0.0,511.0,False,2
1224,0,594,0.0,511.0,False,2
1228,0,594,0.0,511.0,False,2
1232,0,594,-1.0,510.0,False,2
1236,0,594,0.0,510.0,False,2
1240,0,594,0.0,510.0,False,2
1244,0,594,0.0,510.0,False,2
1248,0,594,0.0,510.0,False,2
1252,0,594,-1.0,509.0,False,2
1256,0,594,0.0,509.0,False,2
1260,0,594,0.0,509.0,False,2
1264,0,594,0.0,509.0,False,2
1268,0,594,0.0,509.0,False,2
1272,0,594,-1.0,508.0,False,2
1276,0,594,0.0,508.0,False,2
1280,0,594,0.0,508.0,False,2
1284,0,594,0.0,508.0,False,2
1288,0,594,0.0,508.0,False,2
1292,0,594,-1.0,507.0,False,2
1296,0,594,0.0,507.0,False,2
1300,0,594,0.0,507.0,False,2
1304,0,594,0.0,507.0,False,2
1308,0,594,0.0,507.0,False,2
1312,0,594,-1.0,506.0,False,2
1316,0,594,0.0,506.0,False,2
1320,0,594,0.0,506.0,False,2
1324,0,594,0.0,506.0,False,2
1328,0,594,0.0,506.0,False,2
1332,0,594,-1.0,505.0,False,2
1336,0,594,0.0,505.0,False,2
1340,0,594,0.0,505.0,False,2
1344,0,594,0.0,505.0,False,2
1348,0,594,0.0,505.0,False,2
1352,0,594,-1.0,504.0,False,2
1356,0,594,0.0,504.0,False,2
1360,0,594,0.0,504.0,False,2
1364,0,594,0.0,504.0,False,2
1368,0,594,0.0,504.0,False,2
1372,0,594,-1.0,503.0,False,2
1376,0,594,0.0,503.0,False,2
1380,0,594,0.0,503.0,False,2
1384,0,594,0.0,503.0,False,2
1388,0,594,0.0,503.0,False,2
1392,0,594,-1.0,502.0,False,2
1396,0,594,0.0,502.0,False,2
1400,0,594,0.0,502.0,False,2
1404,0,594,0.0,502.0,False,2
1408,0,594,0.0,502.0,False,2
1412,0,594,-1.0,501.0,False,2
1416,0,594,0.0,501.0,False,2
1420,0,594,0.0,501.0,False,2
1424,0,594,0.0,501.0,False,2
1428,0,594,0.0,501.0,False,2
1432,0,594,-1.0,500.0,False,2
1436,0,594,0.0,500.0,False,2
1440,0,594,0.0,500.0,False,2
1444,0,594,0.0,500.0,False,2
1448,0,594,0.0,500.0,False,2
1452,0,594,-1.0,499.0,False,2
1456,0,594,0.0,499.0,False,2
1460,0,594,0.0,499.0,False,2
1464,0,594,0.0,499.0,False,2
1468,0,594,0.0,499.0,False,2
1472,0,594,-1.0,498.0,False,2
1476,0,594,0.0,498.0,False,2
1480,0,594,0.0,498.0,False,2
1484,0,594,0.0,498.0,False,2
1488,0,594,0.0,498.0,False,2
1492,0,594,-1.0,497.0,False,2
1496,0,594,0.0,497.0,False,2
1500,0,594,0.0,497.0,False,2
1504,0,594,0.0,497.0,False,2
1508,0,594,0.0,497.0,False,2
1512,0,594,-1.0,496.0,False,2
1516,0,594,0.0,496.0,False,2
1520,0,594,0.0,496.0,False,2
1524,0,594,0.0,496.0,False,2
1528,0,594,0.0,496.0,False,2
1532,0,594,-1.0,495.0,False,2
1536,0,594,0.0,495.0,False,2
1540,0,594,0.0,495.0,False,2
1544,0,594,0.0,495.0,False,2
1548,0,594,0.0,495.0,False,2
1552,0,594,-1.0,494.0,False,2
1556,0,594,0.0,494.0,False,2
1560,0,594,0.0,494.0,False,2
1564,0,594,0.0,494.0,False,2
1568,0,594,0.0,494.0,False,2
1572,0,594,-1.0,493.0,False,2
1576,0,594,0.0,493.0,False,2
1580,0,594,0.0,493.0,False,2
1584,0,594,0.0,493.0,False,2
1588,0,594,0.0,493.0,False,2
1592,0,594,-1.0,492.0,False,2
1596,0,594,0.0,492.0,False,2
1600,0,594,0.0,492.0,False,2
1604,0,594,0.0,492.0,False,2
1608,0,594,0.0,492.0,False,2
1612,0,594,-1.0,491.0,False,2
1616,0,594,0.0,491.0,False,2
1620,0,594,0.0,491.0,False,2
1624,0,594,0.0,491.0,False,2
1628,0,594,0.0,491.0,False,2
1632,0,594,-1.0,490.0,False,2
1636,0,594,0.0,490.0,False,2
1640,0,594,0.0,490.0,False,2
1644,0,594,0.0,490.0,False,2
1648,0,594,0.0,490.0,False,2
1652,0,594,-1.0,489.0,False,2
1656,0,594,0.0,489.0,False,2
1660,0,594,0.0,489.0,False,2
1664,0,594,0.0,489.0,False,2
1668,0,594,0.0,489.0,False,2
1672,0,594,-1.0,488.0,False,2
1676,0,594,0.0,488.0,False,2
1680,0,594,0.0,488.0,False,2
1684,0,594,0.0,488.0,False,2
1688,0,594,0.0,488.0,False,2
1692,0,594,-1.0,487.0,False,2
1696,0,594,0.0,487.0,False,2
1700,0,594,0.0,487.0,False,2
1704,0,594,0.0,487.0,False,2
1708,0,594,0.0,487.0,False,2
1712,0,594,-1.0,486.0,False,2
1716,0,594,0.0,486.0,False,2
1720,0,594,0.0,486.0,False,2
1724,0,594,0.0,486.0,False,2
1728,0,594,0.0,486.0,False,2
1732,0,594,-1.0,485.0,False,2
1736,0,594,0.0,485.0,False,2
1740,0,594,0.0,485.0,False,2
1744,0,594,0.0,485.0,False,2
1748,0,594,0.0,485.0,False,2
1752,0,594,-1.0,484.0,False,2
1756,0,594,0.0,484.0,False,2
1760,0,594,0.0,484.0,False,2
1764,0,594,0.0,484.0,False,2
1768,0,594,0.0,484.0,False,2
1772,0,594,-1.0,483.0,False,2
1776,0,594,0.0,483.0,False,2
1780,0,594,0.0,483.0,False,2
1784,0,594,0.0,483.0,False,2
1788,0,594,0.0,483.0,False,2
1792,0,594,-1.0,482.0,False,2
1796,0,594,0.0,482.0,False,2
1800,0,594,0.0,482.0,False,2
1804,0,594,0.0,482.0,False,2
1808,0,594,0.0,482.0,False,2
1812,0,594,-1.0,481.0,False,2
1816,0,594,0.0,481.0,False,2
1820,0,594,0.0,481.0,False,2
1824,0,594,0.0,481.0,False,2
1828,0,594,0.0,481.0,False,2
1832,0,594,-1.0,480.0,False,2
1836,0,594,0.0,480.0,False,2
1840,0,594,0.0,480.0,False,2
1844,0,594,0.0,480.0,False,2
1848,0,594,0.0,480.0,False,2
1852,0,594,-1.0,479.0,False,2
1856,0,594,0.0,479.0,False,2
1860,0,594,0.0,479.0,False,2
1864,0,594,0.0,479.0,False,2
1868,0,594,0.0,479.0,False,2
1872,0,594,-1.0,478.0,False,2
1876,0,594,0.0,478.0,False,2
1880,0,594,0.0,478.0,False,2
1884,0,594,0.0,478.0,False,2
1888,0,594,0.0,478.0,False,2
1892,0,594,-1.0,477.0,False,2
1896,0,594,0.0,477.0,False,2
1900,0,594,0.0,477.0,False,2
1904,0,594,0.0,477.0,False,2
1908,0,594,0.0,477.0,False,2
1912,0,594,-1.0,476.0,False,2
1916,0,594,0.0,476.0,False,2
1920,0,594,0.0,476.0,False,2
1924,0,594,0.0,476.0,False,2
1928,0,594,0.0,476.0,False,2
1932,0,594,-1.0,475.0,False,2
1936,0,594,0.0,475.0,False,2
1940,0,594,0.0,475.0,False,2
1944,0,594,0.0,475.0,False,2
1948,0,594,0.0,475.0,False,2
1952,0,594,-1.0,474.0,False,2
1956,0,594,0.0,474.0,False,2
1960,0,594,0.0,474.0,False,2
1964,0,594,0.0,474.0,False,2
1968,0,594,0.0,474.0,False,2
1972,0,594,-1.0,473.0,False,2
1976,0,594,0.0,473.0,False,2
1980,0,594,0.0,473.0,False,2
1984,0,594,0.0,473.0,False,2
1988,0,594,0.0,473.0,False,2
1992,0,594,-1.0,472.0,False,2
1996,0,594,0.0,472.0,False,2
2000,0,594,0.0,472.0,False,2
2004,0,594,0.0,472.0,False,2
2008,0,594,0.0,472.0,False,2
2012,0,594,-1.0,471.0,False,2
2016,0,594,0.0,471.0,False,2
2020,0,594,0.0,471.0,False,2
2024,0,594,0.0,471.0,False,2
2028,0,594,0.0,471.0,False,2
2032,0,594,-1.0,470.0,False,2
2036,0,594,0.0,470.0,False,2
2040,0,594,0.0,470.0,False,2
2044,0,594,0.0,470.0,False,2
2048,0,594,0.0,470.0,False,2
2052,0,594,-1.0,469.0,False,2
2056,0,594,0.0,469.0,False,2
2060,0,594,0.0,469.0,False,2
2064,0,594,0.0,469.0,False,2
2068,0,594,0.0,469.0,False,2
2072,0,594,-1.0,468.0,False,2
2076,0,594,0.0,468.0,False,2
2080,0,594,0.0,468.0,False,2
2084,0,594,0.0,468.0,False,2
2088,0,594,0.0,468.0,False,2
2092,0,594,-1.0,467.0,False,2
2096,0,594,0.0,467.0,False,2
2100,0,594,0.0,467.0,False,2
2104,0,594,0.0,467.0,False,2
2108,0,594,0.0,467.0,False,2
2112,0,594,-1.0,466.0,False,2
2116,0,594,0.0,466.0,False,2
2120,0,594,0.0,466.0,False,2
2124,0,594,0.0,466.0,False,2
2128,0,594,0.0,466.0,False,2
2132,0,594,-1.0,465.0,False,2
2136,0,594,0.0,465.0,False,2
2140,0,594,0.0,465.0,False,2
2144,0,594,0.0,465.0,False,2
2148,0,594,0.0,465.0,False,2
2152,0,594,-1.0,464.0,False,2
2156,0,594,0.0,464.0,False,2
2160,0,594,0.0,464.0,False,2
2164,0,594,0.0,464.0,False,2
2168,0,594,0.0,464.0,False,2
2172,0,594,-1.0,463.0,False,2
2176,0,594,0.0,463.0,False,2
2180,0,594,0.0,463.0,False,2
2184,0,594,0.0,463.0,False,2
2188,0,594,0.0,463.0,False,2
2192,0,594,-1.0,462.0,False,2
2196,0,594,0.0,462.0,False,2
2200,0,594,0.0,462.0,False,2
2204,0,594,0.0,462.0,False,2
2208,0,594,0.0,462.0,False,2
2212,0,594,-1.0,461.0,False,2
2216,0,594,0.0,461.0,False,2
2220,0,594,0.0,461.0,False,2
2224,0,594,0.0,461.0,False,2
2228,0,594,0.0,461.0,False,2
2232,0,594,-1.0,460.0,False,2
2236,0,594,0.0,460.0,False,2
2240,0,594,0.0,460.0,False,2
2244,0,594,0.0,460.0,False,2
2248,0,594,0.0,460.0,False,2
2252,0,594,-1.0,459.0,False,2
2256,0,594,0.0,459.0,False,2
2260,0,594,0.0,459.0,False,2
2264,0,594,0.0,459.0,False,2
2268,0,594,0.0,459.0,False,2
2272,0,594,-1.0,458.0,False,2
2276,0,594,0.0,458.0,False,2
2280,0,594,0.0,458.0,False,2
2284,0,594,0.0,458.0,False,2
2288,0,594,0.0,458.0,False,2
2292,0,594,-1.0,457.0,False,2
2296,0,594,0.0,457.0,False,2
2300,0,594,0.0,457.0,False,2
2304,0,594,0.0,457.0,False,2
2308,0,594,0.0,457.0,False,2
2312,0,594,-1.0,456.0,False,2
2316,0,594,0.0,456.0,False,2
2320,0,594,0.0,456.0,False,2
2324,0,594,0.0,456.0,False,2
2328,0,594,0.0,456.0,False,2
2332,0,594,-1.0,455.0,False,2
2336,0,594,0.0,455.0,False,2
2340,0,594,0.0,455.0,False,2
2344,0,594,0.0,455.0,False,2
2348,0,594,0.0,455.0,False,2
2352,0,594,-1.0,454.0,False,2
2356,0,594,0.0,454.0,False,2
2360,0,594,0.0,454.0,False,2
2364,0,594,0.0,454.0,False,2
2368,0,594,0.0,454.0,False,2
2372,0,594,-1.0,453.0,False,2
2376,0,594,0.0,453.0,False,2
2380,0,594,0.0,453.0,False,2
2384,0,594,0.0,453.0,False,2
2388,0,594,0.0,453.0,False,2
2392,0,594,-1.0,452.0,False,2
2396,0,594,0.0,452.0,False,2
2400,0,594,0.0,452.0,False,2
2404,0,594,0.0,452.0,False,2
2408,0,594,0.0,452.0,False,2
2412,0,594,-1.0,451.0,False,2
2416,0,594,0.0,451.0,False,2
2420,0,594,0.0,451.0,False,2
2424,0,594,0.0,451.0,False,2
2428,0,594,0.0,451.0,False,2
2432,0,594,-1.0,450.0,False,2
2436,0,594,0.0,450.0,False,2
2440,0,594,0.0,450.0,False,2
2444,0,594,0.0,450.0,False,2
2448,0,594,0.0,450.0,False,2
2452,0,594,-1.0,449.0,False,2
2456,0,594,0.0,449.0,False,2
2460,0,594,0.0,449.0,False,2
2464,0,594,0.0,449.0,False,2
2468,0,594,0.0,449.0,False,2
2472,0,594,-1.0,448.0,False,2
2476,0,594,0.0,448.0,False,2
2480,0,594,0.0,448.0,False,2
2484,0,594,0.0,448.0,False,2
2488,0,594,0.0,448.0,False,2
2492,0,594,-1.0,447.0,False,2
2496,0,594,0.0,447.0,False,2
2500,0,594,0.0,447.0,False,2
2504,0,594,0.0,447.0,False,2
2508,0,594,0.0,447.0,False,2
2512,0,594,-1.0,446.0,False,2
2516,0,594,0.0,446.0,False,2
2520,0,594,0.0,446.0,False,2
2524,0,594,0.0,446.0,False,2
2528,0,594,0.0,446.0,False,2
2532,0,594,-1.0,445.0,False,2
2536,0,594,0.0,445.0,False,2
2540,0,594,0.0,445.0,False,2
2544,0,594,0.0,445.0,False,2
2548,0,594,0.0,445.0,False,2
2552,0,594,-1.0,444.0,False,2
2556,0,594,0.0,444.0,False,2
2560,0,594,0.0,444.0,False,2
2564,0,594,0.0,444.0,False,2
2568,0,594,0.0,444.0,False,2
2572,0,594,-1.0,443.0,False,2
2576,0,594,0.0,443.0,False,2
2580,0,594,0.0,443.0,False,2
2584,0,594,0.0,443.0,False,2
2588,0,594,0.0,443.0,False,2
2592,0,594,-1.0,442.0,False,2
2596,0,594,0.0,442.0,False,2
2600,0,594,0.0,442.0,False,2
2604,0,594,0.0,442.0,False,2
2608,0,594,0.0,442.0,False,2
2612,0,594,-1.0,441.0,False,2
2616,0,594,0.0,441.0,False,2
2620,0,594,0.0,441.0,False,2
2624,0,594,0.0,441.0,False,2
2628,0,594,0.0,441.0,False,2
2632,0,594,-1.0,440.0,False,2
2636,0,594,0.0,440.0,False,2
2640,0,594,0.0,440.0,False,2
2644,0,594,0.0,440.0,False,2
2648,0,594,0.0,440.0,False,2
2652,0,594,-1.0,439.0,False,2
2656,0,594,0.0,439.0,False,2
2660,0,594,0.0,439.0,False,2
2664,0,593,0.0,439.0,False,2
2668,0,593,0.0,439.0,False,2
2672,0,593,-1.0,438.0,False,2
2676,0,593,0.0,438.0,False,2
2680,0,592,0.0,438.0,False,2
2684,0,592,0.0,438.0,False,2
2688,0,592,0.0,438.0,False,2
2692,0,592,-1.0,437.0,False,2
2696,0,592,0.0,437.0,False,2
2700,0,592,0.0,437.0,False,2
2704,0,592,0.0,437.0,False,2
2708,0,592,0.0,437.0,False,2
2712,0,592,-1.0,436.0,False,2
2716,0,592,0.0,436.0,False,2
2720,0,592,0.0,436.0,False,2
2724,0,592,0.0,436.0,False,2
2728,0,592,0.0,436.0,False,2
2732,0,592,-1.0,435.0,False,2
2736,0,592,0.0,435.0,False,2
2740,0,593,0.0,435.0,False,2
2744,0,594,0.0,435.0,False,2
2748,0,594,0.0,435.0,False,2
2752,0,594,-1.0,434.0,False,2
2756,0,594,0.0,434.0,False,2
2760,0,594,0.0,434.0,False,2
2764,0,594,0.0,434.0,False,2
2768,0,594,0.0,434.0,False,2
2772,0,594,-1.0,433.0,False,2
2776,0,594,0.0,433.0,False,2
2780,0,594,0.0,433.0,False,2
2784,0,594,0.0,433.0,False,2
2788,0,594,0.0,433.0,False,2
2792,0,594,-1.0,432.0,False,2
2796,0,594,0.0,432.0,False,2
2800,0,594,0.0,432.0,False,2
2804,0,594,0.0,432.0,False,2
2808,0,594,0.0,432.0,False,2
2812,0,594,-1.0,431.0,False,2
2816,0,594,0.0,431.0,False,2
2820,0,594,0.0,431.0,False,2
2824,0,594,0.0,431.0,False,2
2828,0,594,0.0,431.0,False,2
2832,0,594,-1.0,430.0,False,2
2836,0,594,0.0,430.0,False,2
2840,0,594,0.0,430.0,False,2
2844,0,594,0.0,430.0,False,2
2848,0,594,0.0,430.0,False,2
2852,0,594,-1.0,429.0,False,2
2856,0,594,0.0,429.0,False,2
2860,0,594,0.0,429.0,False,2
2864,0,594,0.0,429.0,False,2
2868,0,594,0.0,429.0,False,2
